run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed_s
154,500,15,5,sqrt,True,0.2,0.2,24072,6019,0.022484170365539007,0.014179430449508519,0.43341271539725823,0.9357036052500415,8.761145114898682
155,1000,30,3,0.7,True,0.35,0.1,27762,3085,0.033491858259042356,0.01685511071245443,0.48620131768868124,0.9027552674230146,62.437121868133545
156,2000,20,1,log2,False,0.2,0.2,24072,6019,0.02180222900738967,0.013372795395306504,0.4672605189308283,0.9174281442100016,58.01340293884277
157,500,15,2,0.5,False,0.25,0.15,25854,4563,0.025334868572703045,0.015061425683950361,0.42898586044918563,0.9314047775586237,17.51006007194519
158,2000,None,10,0.3,True,0.2,0.15,25577,4514,0.02213980641498522,0.013609879579898732,0.4495175491309725,0.9324324324324325,50.154008865356445
159,2000,40,1,0.7,False,0.35,0.15,26219,4628,0.03453744137851783,0.01733766679944202,0.41470713360730327,0.8658167675021607,163.60081315040588
160,1500,20,2,log2,False,0.25,0.2,24333,6084,0.02507333343833139,0.014479104747385639,0.4410939851106902,0.9275147928994083,36.14561676979065
161,500,50,5,0.5,False,0.225,0.15,25749,4545,0.022920132606761668,0.013573459489101667,0.47056719995306096,0.9243124312431243,20.166417837142944
162,1500,40,3,sqrt,True,0.2,0.25,22568,7523,0.02192534449322385,0.013350301850700713,0.4649962315116768,0.9015020603482653,38.438966035842896
163,2000,30,1,0.7,True,0.35,0.1,27762,3085,0.034244410593566636,0.017136068898303516,0.4628520924362013,0.8748784440842787,166.14692616462708
164,1500,20,10,sqrt,False,0.25,0.2,24333,6084,0.025627289278691675,0.015075420427343042,0.4161248746817596,0.9378698224852071,27.400208950042725
165,1500,15,5,0.4,True,0.25,0.2,24333,6084,0.025749112256286257,0.015191892765181111,0.4105606132862425,0.9386916502301118,41.184683084487915
166,500,50,2,0.6,False,0.225,0.2,24235,6059,0.023135801029504504,0.013749276074615294,0.4672062006494091,0.8966826208945371,27.85059404373169
167,1500,None,10,0.4,True,0.3,0.1,27540,3060,0.02746152844902247,0.015136946472952988,0.43923673203962466,0.931045751633987,53.10506796836853
168,1000,None,5,log2,True,0.25,0.25,22812,7605,0.02543098949845744,0.01469473658167543,0.43286515445244944,0.9204470742932281,21.294373989105225
