n_feats,features,r2,rmse
18,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|GEOID|REVEAL_S70|REVEAL_S100,0.412521533727215,0.034424199276589504
6,CRUST_RHO|SI|REVEAL_S90|MOHO_GRAV|FREE_AIR|GEOID,0.369825604464065,0.03565317802337061
6,MOHO|CTD|DEM|SI|BOUGUER|REVEAL_S100,0.37653131131177653,0.035462977356505644
6,REVEAL_P150|REVEAL_S80|DEM|SI|BOUGUER|SEDIMENT,0.37715573066581576,0.03544521438221612
9,REVEAL_P150|EMAG2_LOG|MAG_SEIS_MOHO|LAB|REVEAL_S80|CTD|DEM|SI|SEDIMENT,0.39653819684260694,0.0348893408042192
12,EMAG2_LOG|CRUST_RHO|LITH_RHO|MAG_SEIS_MOHO|MOHO|REVEAL_S80|BOUGUER|REVEAL_VP60VS70|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.41150923754242696,0.03445384503290838
19,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|REVEAL_VP90VS60|GEOID|REVEAL_S100,0.4102109406178499,0.03449182921219462
20,REVEAL_P150|EMAG2_LOG|CRUST_RHO|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|DEM|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|SEDIMENT|REVEAL_S100,0.4105806741164517,0.0344810162073047
21,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|LAB|MOHO|REVEAL_S80|CTD|SI|REVEAL_S90|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.409935673052219,0.034499877322063555
10,CRUST_RHO|REVEAL_VP50VS80|LAB|DEM|REVEAL_S90|MOHO_GRAV|REVEAL_VP90VS60|GEOID|REVEAL_S70|REVEAL_S100,0.3986372298002524,0.034828609810529314
17,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|MAG_SEIS_MOHO|LAB|MOHO|DEM|SI|REVEAL_S90|BOUGUER|FREE_AIR|REVEAL_VP90VS60|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.4142119925611193,0.0343746360861438
16,REVEAL_P150|EMAG2_LOG|CRUST_RHO|REVEAL_VP50VS80|LITH_RHO|MAG_SEIS_MOHO|REVEAL_S80|SI|BOUGUER|REVEAL_VP60VS70|MOHO_GRAV|FREE_AIR|GEOID|REVEAL_S70|SEDIMENT|REVEAL_S100,0.411563789125837,0.034452248104392666
