run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed_s
133,2000,50,1,0.6,True,0.225,0.25,22720,7574,0.023939479047087143,0.014280652889300156,0.42624590337959856,0.8736466860311592,119.35721611976624
134,500,20,3,0.4,False,0.3,0.1,27540,3060,0.027165853639040498,0.015013766323106631,0.4512470598651377,0.9287581699346406,16.58696484565735
135,500,20,10,0.5,True,0.3,0.25,22950,7650,0.02847188976542491,0.015896182244367757,0.4076677569334234,0.9296732026143791,13.377516984939575
136,500,30,10,log2,True,0.3,0.25,22950,7650,0.0286746338238501,0.016025902132597136,0.3992019036379302,0.9313725490196079,8.91083812713623
137,500,40,10,log2,False,0.225,0.15,25749,4545,0.02355220349169654,0.014233639110961203,0.44096412109221994,0.9368536853685369,10.037369966506958
138,2000,None,2,0.4,True,0.2,0.1,27081,3010,0.021269013204128395,0.01292177379685869,0.4824095816009222,0.8913621262458472,89.18686413764954
139,2000,25,7,0.3,True,0.35,0.25,23135,7712,0.034593283794901696,0.01739049565400752,0.38638323182162404,0.9258298755186722,44.61992812156677
140,500,15,3,0.7,False,0.2,0.1,27081,3010,0.021307632241012633,0.013476775143469906,0.4805282540041377,0.9388704318936877,18.756437063217163
141,500,30,5,0.6,True,0.3,0.25,22950,7650,0.027982845212975418,0.015340790727558807,0.42784127238133174,0.9173856209150327,17.60890293121338
142,1500,50,7,0.3,False,0.3,0.2,24480,6120,0.02775770400719228,0.015314560641988799,0.42787247441031573,0.9282679738562092,35.94278287887573
143,500,20,3,0.3,True,0.2,0.15,25577,4514,0.021741226801339813,0.013384296118941217,0.46915964230086293,0.9220203810367745,13.825395822525024
144,2000,40,2,0.7,False,0.35,0.15,26219,4628,0.03434840548325782,0.017227517528554136,0.4210966382441126,0.8952031114952463,115.84036588668823
145,1000,None,7,0.5,True,0.225,0.1,27264,3030,0.022838621298254688,0.013607742092132712,0.4694494083597003,0.9303630363036304,35.280689001083374
146,500,30,3,0.5,False,0.225,0.15,25749,4545,0.023076556590218872,0.01362135669135675,0.46331605635442363,0.917051705170517,20.350522756576538
147,1000,25,1,log2,True,0.225,0.2,24235,6059,0.023562969078756844,0.013982345346027023,0.44735008540193644,0.8980029707872587,38.606985092163086
148,1500,40,10,0.7,True,0.225,0.2,24235,6059,0.023776177970765734,0.014247479560607205,0.4373035614858286,0.9331572866809704,52.716710805892944
