run,n_estimators,max_depth,min_samples_leaf,max_features,use_log_target,q_clip_max,cal_frac,n_train,n_cal,rmse,mae,r2,picp,elapsed
104,1500,15,2,0.5,False,0.35,0.25,2348,783,0.061256538657902274,0.03695482009906497,0.28898101236921137,0.89272030651341,5.507725954055786
105,1000,50,5,0.5,False,0.35,0.15,2661,470,0.06066973447220095,0.03619167880324223,0.32888204939997157,0.9,4.9539079666137695
106,500,20,10,0.6,True,0.35,0.15,2661,470,0.06280111986946048,0.037643914656083306,0.2808997445180955,0.9085106382978724,1.8195140361785889
107,1000,None,10,sqrt,True,0.25,0.15,2496,441,0.03986221007280871,0.027180162186540097,0.305910458242205,0.9206349206349206,2.204651117324829
108,2000,50,1,0.4,False,0.225,0.15,2452,433,0.03857000821652953,0.026867840571316526,0.30646689253441073,0.8314087759815243,12.368983030319214
109,2000,15,10,0.7,True,0.2,0.1,2523,281,0.03347271299584753,0.024579828074004117,0.28857194735067637,0.9074733096085409,8.631311178207397
110,1500,50,3,0.3,True,0.2,0.15,2383,421,0.03321964883024907,0.023863053026713706,0.3343814139146535,0.8527315914489311,5.41480278968811
111,1000,20,5,0.4,True,0.35,0.2,2504,627,0.06125655229398476,0.035976478119051566,0.3185011548221033,0.9027113237639554,3.350025177001953
112,1500,30,1,0.7,False,0.2,0.15,2383,421,0.03512815269411389,0.0248694098888184,0.255703477770011,0.833729216152019,11.706771850585938
113,1000,30,10,0.5,True,0.3,0.15,2564,453,0.04181844907738204,0.027478238279631303,0.370085448334011,0.9050772626931567,3.3975508213043213
114,1500,None,2,0.5,False,0.25,0.2,2349,588,0.040953392681102166,0.028218917702936063,0.2697036674940201,0.858843537414966,6.965204954147339
115,1500,30,10,0.4,False,0.225,0.2,2308,577,0.03771716677503636,0.02699287972513302,0.3121791948249688,0.8977469670710572,4.254396915435791
116,1000,50,1,0.6,True,0.225,0.2,2308,577,0.03916962884925831,0.0272553925200648,0.25818416982842196,0.8318890814558059,6.772495746612549
117,500,20,7,sqrt,False,0.2,0.15,2383,421,0.03344466275439317,0.024336282474630464,0.32533371461688787,0.8859857482185273,1.6136119365692139
118,1500,50,2,0.5,False,0.2,0.25,2103,701,0.033894683911528924,0.02421068531827849,0.33747036904560057,0.854493580599144,6.03098201751709
119,1000,30,3,0.5,True,0.2,0.25,2103,701,0.033793972003401555,0.024139589272648324,0.341401693110326,0.8601997146932953,4.616207122802734
120,2000,50,5,log2,True,0.225,0.2,2308,577,0.03762691135692064,0.02660812778510955,0.3154671023177472,0.8856152512998267,5.177206039428711
121,1000,None,1,0.6,False,0.3,0.15,2564,453,0.043744534480167054,0.028773534132577615,0.3107236216356203,0.8344370860927153,7.057410001754761
122,2000,50,2,log2,True,0.25,0.15,2496,441,0.04058423770476123,0.02754444479088918,0.2805385317829948,0.8639455782312925,7.3610217571258545
123,1500,None,1,log2,True,0.35,0.2,2504,627,0.06279429188234621,0.03701493989796858,0.28385599700358577,0.8309409888357256,7.696454048156738
124,1500,40,1,0.3,True,0.2,0.25,2103,701,0.034780101423778714,0.02478200188566108,0.3024042625028308,0.8359486447931527,7.541422128677368
125,1000,None,2,0.4,False,0.3,0.1,2715,302,0.04228167018682878,0.027942361945075562,0.35443110742951567,0.8675496688741722,4.621111631393433
126,1000,30,3,0.4,True,0.25,0.2,2349,588,0.04053848527328872,0.02798071480231438,0.2844262793760647,0.8758503401360545,4.549923896789551
127,1500,25,5,sqrt,True,0.25,0.25,2202,735,0.04002030479853011,0.02773469303450911,0.29846519529668747,0.8952380952380953,3.6016440391540527
128,1000,50,2,0.3,False,0.3,0.1,2715,302,0.04279428910401047,0.0282063502327261,0.33868258510208316,0.8741721854304636,5.2120749950408936
129,2000,30,1,0.7,True,0.35,0.15,2661,470,0.06306109078850676,0.03763989643619983,0.2749338606967371,0.8297872340425532,17.53175187110901
130,500,50,2,0.5,False,0.225,0.15,2452,433,0.03805054428023969,0.026405382529521217,0.3250222111729758,0.8498845265588915,2.424583911895752
131,1000,None,5,log2,False,0.3,0.2,2413,604,0.04205511205011402,0.028067381369304648,0.3860338136970253,0.9105960264900662,3.0780208110809326
132,500,50,1,0.7,False,0.25,0.2,2349,588,0.042182010348806476,0.029085578067514797,0.22522803723021068,0.8435374149659864,3.3671727180480957
133,2000,50,1,0.6,True,0.225,0.25,2163,722,0.038581818579701346,0.026508636992505788,0.29925717548820874,0.8365650969529086,14.267431735992432
134,500,20,3,0.4,False,0.3,0.1,2715,302,0.0420926362978335,0.027967926567171644,0.3601906529112672,0.890728476821192,2.0648441314697266
135,500,20,10,0.5,True,0.3,0.25,2262,755,0.044709639098631904,0.029396358550787875,0.3534798228592537,0.904635761589404,1.554095983505249
136,500,30,10,log2,True,0.3,0.25,2262,755,0.0449517434770881,0.029598420970297103,0.3464590030010182,0.9178807947019868,1.0611929893493652
137,500,40,10,log2,False,0.225,0.15,2452,433,0.03835953709561289,0.02736253669347432,0.31401526661700363,0.8960739030023095,1.6023967266082764
138,2000,None,2,0.4,True,0.2,0.1,2523,281,0.03350735214458208,0.024028897907659545,0.287098746589202,0.8434163701067615,9.890259981155396
139,2000,25,7,0.3,True,0.35,0.25,2348,783,0.06109334485713846,0.03631671708705544,0.2927644232624307,0.9029374201787995,5.503226041793823
140,500,15,3,0.7,False,0.2,0.1,2523,281,0.03275383232033113,0.023873576102651707,0.3188019418864587,0.896797153024911,2.242663860321045
141,500,30,5,0.6,True,0.3,0.25,2262,755,0.04477179322716642,0.029410088865403555,0.35168102375087595,0.8966887417218543,1.930656909942627
142,1500,50,7,0.3,False,0.3,0.2,2413,604,0.041963352771483955,0.02792342668391551,0.38871009399580303,0.9089403973509934,4.538753032684326
143,500,20,3,0.3,True,0.2,0.15,2383,421,0.03309643985488729,0.02388674439307234,0.33930970799993254,0.8646080760095012,1.6684238910675049
144,2000,40,2,0.7,False,0.35,0.15,2661,470,0.0610878158559445,0.036621413441452935,0.31960069409690495,0.8659574468085106,12.977394819259644
145,1000,None,7,0.5,True,0.225,0.1,2596,289,0.0364221296615215,0.026084930142708802,0.2948033511714394,0.8858131487889274,5.187880754470825
146,500,30,3,0.5,False,0.225,0.15,2452,433,0.03779932445342428,0.026424541283426018,0.3339055551835586,0.859122401847575,2.219680070877075
147,1000,25,1,log2,True,0.225,0.2,2308,577,0.038804674896173647,0.027134830193328317,0.27194316637571214,0.8353552859618717,4.973674058914185
148,1500,40,10,0.7,True,0.225,0.2,2308,577,0.03773860284288464,0.026930980516055327,0.31139714439334054,0.8908145580589255,5.533644914627075
149,2000,25,5,0.3,True,0.3,0.25,2262,755,0.04447733078156865,0.029134780035333555,0.36018092013718206,0.8966887417218543,6.381974935531616
150,2000,30,10,0.3,False,0.225,0.15,2452,433,0.038168319939085725,0.02728767944489734,0.32083730475884253,0.8983833718244804,6.251089096069336
151,2000,30,3,log2,True,0.35,0.15,2661,470,0.06200775234543559,0.036774852007440025,0.29895379051470206,0.8787234042553191,6.859031915664673
152,1000,30,10,0.3,False,0.25,0.25,2202,735,0.03959981079034308,0.027744356052274786,0.3131298234029515,0.9129251700680272,2.3490211963653564
153,2000,15,7,log2,True,0.3,0.1,2715,302,0.04027213500265108,0.026472898172777683,0.4143372061009042,0.9238410596026491,5.719271898269653
154,500,15,5,sqrt,True,0.2,0.2,2243,561,0.03459021944931192,0.024964273076665988,0.326344241514286,0.8841354723707665,1.142611026763916
155,1000,30,3,0.7,True,0.35,0.1,2817,314,0.060701990883864916,0.03652397717374422,0.3636398555071084,0.8630573248407644,6.439068794250488
156,2000,20,1,log2,False,0.2,0.2,2243,561,0.03409377025252196,0.024122445840228393,0.3455424948730941,0.839572192513369,8.218916893005371
157,500,15,2,0.5,False,0.25,0.15,2496,441,0.0395774495802177,0.027189477334118847,0.31579166220710964,0.8979591836734694,1.9958360195159912
158,2000,None,10,0.3,True,0.2,0.15,2383,421,0.033363997213563264,0.024439563570716097,0.3285842595722779,0.8907363420427553,6.304702997207642
159,2000,40,1,0.7,False,0.35,0.15,2661,470,0.06207731790449705,0.037545077033275184,0.29737992189143003,0.8382978723404255,17.263460159301758
160,1500,20,2,log2,False,0.25,0.2,2349,588,0.04049371723202716,0.027988687490654755,0.28600587195586813,0.8724489795918368,5.1274309158325195
161,500,50,5,0.5,False,0.225,0.15,2452,433,0.03804852655968181,0.02681289162320197,0.3250937938783989,0.8775981524249422,1.7784059047698975
162,1500,40,3,sqrt,True,0.2,0.25,2103,701,0.03392445564614567,0.024201331896527237,0.33630597883770774,0.8630527817403709,4.560691833496094
163,2000,30,1,0.7,True,0.35,0.1,2817,314,0.06082334462349691,0.037093674449294615,0.36109292500661505,0.8121019108280255,17.160414218902588
164,1500,20,10,sqrt,False,0.25,0.2,2349,588,0.040000689458615804,0.027928681618812692,0.30328637722686325,0.9115646258503401,3.12893009185791
165,1500,15,5,0.4,True,0.25,0.2,2349,588,0.04027938673345197,0.02778683109715394,0.2935441142943188,0.9115646258503401,4.987671136856079
166,500,50,2,0.6,False,0.225,0.2,2308,577,0.0381117120363427,0.02677947171960779,0.29771385468082556,0.8526863084922011,2.387712001800537
